Participant id,Experiment Type,Sex,Age,Job,Pre-Behavior Level,Pre-Youtube Time Average,Pre-Youtube Time Percentage Average,Intervention YouTube Time  Average,Intervention YouTube Time Percentage Average,Post-Behavior Level,Post-Youtube Time Average,Post-Youtube Time Percentage Average,Stress,Time Intuition,App Influence,Pre_Estimation,Post_Estimation,Frequence,Pre_Estimate_Error,Post_Estimate_Error,Pre_Estimate_Error_Rate,Post_Estimate_Error_Rate
MP_1,Metaphorical,Male,25,desgin researcher,1,1977.8,13.31091418,698,4.898547703,2,557.8,3.355238462,6,4,4,30,30,1시간에 한 번,-177.8,1102,-9.877777778,61.22222222
MP_2,Metaphorical,Female,27,desgin researcher,5,1179.4,6.768347422,1449.1,6.619450784,5,1227,5.491443661,3,4,4,20,30,10분에 한 번,20.6,350.9,1.716666667,19.49444444
MP_3,Metaphorical,Female,25,virtual reality researcher,1,1242.2,12.41939796,186.625,1.262784681,2,314.8,1.248266072,3,4,3,60,30,10분에 한 번,2357.8,1613.375,65.49444444,89.63194444
MP_4,Metaphorical,Male,28,web designer,1,1503.25,12.15703094,2401.7,13.58919861,2,4252.666667,24.60196633,4,4,2,240,120,거의 보지 않음,12896.75,4798.3,89.56076389,66.64305556
MP_5,Metaphorical,Female,26,desgin researcher,1,1662.75,7.092715614,687.125,3.267971031,3,1569.5,7.84480416,2,2,2,4,30,하루에 한 번,-1422.75,1112.875,-592.8125,61.82638889
MP_6,Metaphorical,Male,26,app developer,1,1315.2,5.865424254,888.875,13.37884786,3,0,0,5,2,4,200,60,10분에 한 번,10684.8,2711.125,89.04,75.30902778
MP_7,Metaphorical,Female,24,nuclear engineering researcher,1,3162.4,23.41286184,2061.9,14.12061913,2,736,23.13581234,3,3,4,30,60,거의 보지 않음,-1362.4,1538.1,-75.68888889,42.725
MP_8,Metaphorical,Male,28,service desgin researcher,1,79,0.748517356,781.3,5.156985175,2,1175.8,6.133326867,3,3,3,60,30,10분에 한 번,3521,1018.7,97.80555556,56.59444444
MP_9,Metaphorical,Male,24,industrial designer,1,3534.8,54.78677412,4288.75,19.45698564,3,745,7.948499671,7,4,4,60,70,거의 보지 않음,65.2,-88.75,1.811111111,-2.113095238
MP_10,Metaphorical,Male,25,service desgin researcher,5,2258.6,9.881348643,2194.1,9.400448044,6,1745.8,6.152035998,3,4,4,60,40,10분에 한 번,1341.4,205.9,37.26111111,8.579166667
MP_11,Metaphorical,Male,24,service desgin researcher,5,2841.6,13.3402191,67.3,0.62558655,5,0,0,4,3,3,20,40,거의 보지 않음,-1641.6,2332.7,-136.8,97.19583333
MP_12,Metaphorical,Female,27,user experience researcher,4,5425,20.70648096,1673.7,6.451792609,4,3036.5,17.49586491,3,4,3,60,120,하루에 한 번,-1825,5526.3,-50.69444444,76.75416667
MP_13,Metaphorical,Female,26,project manager,1,1651,14.90137934,6044,40.25061216,3,2054.6,17.10443004,1,5,5,500,6,1시간에 한 번,28349,-5684,94.49666667,-1578.888889
MP_14,Metaphorical,Female,25,industrial engineering researcher,2,212.6,1.1682601,302.2,1.775599864,3,179.6,0.911294542,4,4,4,60,10,하루에 한 번,3387.4,297.8,94.09444444,49.63333333
MP_15,Metaphorical,Female,22,undergraduate student,2,5656.6,27.31079277,1440.2,11.62836338,3,1461.2,8.519856177,,2,4,10,30,10분에 한 번,-5056.6,359.8,-842.7666667,19.98888889
MP_16,Metaphorical,Female,25,web designer,2,890,4.33903411,1269.9,7.302192653,2,1586.2,6.408827299,2,4,3,120,60,거의 보지 않음,6310,2330.1,87.63888889,64.725
MP_17,Metaphorical,Male,26,data engineer,3,13750.4,42.47329878,8195.2,20.82016888,5,12770.6,26.62751033,4,4,4,120,180,거의 보지 않음,-6550.4,2604.8,-90.97777778,24.11851852
MP_18,Metaphorical,Female,26,user experience developer,2,4204,18.09666372,745.7,6.062692442,5,1196.4,6.708508723,3,5,5,30,60,수시로(1분에 한 번),-2404,2854.3,-133.5555556,79.28611111
MP_19,Metaphorical,Male,59,metallurgy researcher,1,8636.8,82.98574166,10977.3,81.22647599,3,11351.2,78.07803147,10,3,2,60,180,수시로(1분에 한 번),-5036.8,-177.3,-139.9111111,-1.641666667
MP_20,Metaphorical,Female,26,architecture manager,1,1819.666667,40.9107649,20.83333333,1.954346467,2,0,0,4,4,4,35,30,수시로(1분에 한 번),280.3333333,1779.166667,13.34920635,98.84259259
SP_1,Simile,Male,27,desgin researcher,3,262.6,2.79423773,114.8888889,0.511561172,3,347.5,1.487766416,1,4,2,10,30,하루에 한 번,337.4,1685.111111,56.23333333,93.61728395
SP_2,Simile,Male,27,data science researcher,5,3591.2,15.29232082,6094.5,23.23543576,5,1924,8.415418231,3,5,4,60,100,10분에 한 번,8.8,-94.5,0.244444444,-1.575
SP_3,Simile,Female,23,undergraduate student,5,1444.25,14.64749609,1287.7,9.334896589,6,0,0,1,4,2,30,40,하루에 한 번,355.75,1112.3,19.76388889,46.34583333
SP_4,Simile,Male,26,robotics researcher,1,880.2,7.936162616,867.7,8.397523847,1,572.2,6.394866803,2,2,1,120,30,거의 보지 않음,6319.8,932.3,87.775,51.79444444
