,participant_id,participant_number,sex,type,stress,intuition,influence,pre_behavior,post_behavior,days,total,youtube,percentage,stage
0,MP_1,1,Male,Metaphorical,6,4,4,1,2,0,14664,2640.0,18.00327332242230,0
1,MP_1,1,Male,Metaphorical,6,4,4,1,2,1,17221,1615.0,9.378084896347480,0
2,MP_1,1,Male,Metaphorical,6,4,4,1,2,2,17301,1831.0,10.583203283047200,0
3,MP_1,1,Male,Metaphorical,6,4,4,1,2,3,17415,1362.0,7.8208440999138700,0
4,MP_1,1,Male,Metaphorical,6,4,4,1,2,4,11753,2441.0,20.769165319492900,0
5,MP_1,1,Male,Metaphorical,6,4,4,1,2,5,17872,0.0,0.0,1
6,MP_1,1,Male,Metaphorical,6,4,4,1,2,6,17221,579.0,3.362174089774110,1
7,MP_1,1,Male,Metaphorical,6,4,4,1,2,7,17301,139.0,0.8034217675278890,1
8,MP_1,1,Male,Metaphorical,6,4,4,1,2,8,17415,686.0,3.939132931380990,1
9,MP_1,1,Male,Metaphorical,6,4,4,1,2,9,16401,792.0,4.82897384305835,1
10,MP_1,1,Male,Metaphorical,6,4,4,1,2,10,9850,402.0,4.081218274111680,1
11,MP_1,1,Male,Metaphorical,6,4,4,1,2,11,13006,1453.0,11.17176687682610,1
12,MP_1,1,Male,Metaphorical,6,4,4,1,2,12,8516,696.0,8.172851103804600,1
13,MP_1,1,Male,Metaphorical,6,4,4,1,2,13,19474,1733.0,8.899044880353290,1
14,MP_1,1,Male,Metaphorical,6,4,4,1,2,14,13416,500.0,3.7268932617769800,1
15,MP_1,1,Male,Metaphorical,6,4,4,1,2,15,15441,30.0,0.19428793471925400,2
16,MP_1,1,Male,Metaphorical,6,4,4,1,2,16,4942,107.0,2.165115337919870,2
17,MP_1,1,Male,Metaphorical,6,4,4,1,2,17,18653,709.0,3.800997158634,2
18,MP_1,1,Male,Metaphorical,6,4,4,1,2,18,15979,1079.0,6.752612804305650,2
19,MP_1,1,Male,Metaphorical,6,4,4,1,2,19,22365,864.0,3.86317907444668,2
20,SP_1,2,Male,Simile,1,4,2,3,3,0,9193,331.0,3.6005656477754800,0
21,SP_1,2,Male,Simile,1,4,2,3,3,1,11736,506.0,4.311520109066120,0
22,SP_1,2,Male,Simile,1,4,2,3,3,2,7002,407.0,5.812624964295920,0
23,SP_1,2,Male,Simile,1,4,2,3,3,3,16762,20.0,0.11931750387781900,0
24,SP_1,2,Male,Simile,1,4,2,3,3,4,38534,49.0,0.12716042975035000,0
25,SP_1,2,Male,Simile,1,4,2,3,3,5,16711,17.0,0.10172939979654100,1
26,SP_1,2,Male,Simile,1,4,2,3,3,6,22623,0.0,0.0,1
27,SP_1,2,Male,Simile,1,4,2,3,3,7,24791,272.0,1.0971723609374400,1
28,SP_1,2,Male,Simile,1,4,2,3,3,8,18305,0.0,0.0,1
29,SP_1,2,Male,Simile,1,4,2,3,3,9,32014,311.0,0.9714499906291000,1
30,SP_1,2,Male,Simile,1,4,2,3,3,10,18712,103.0,0.5504489097905090,1
31,SP_1,2,Male,Simile,1,4,2,3,3,11,,,,1
32,SP_1,2,Male,Simile,1,4,2,3,3,12,21821,0.0,0.0,1
33,SP_1,2,Male,Simile,1,4,2,3,3,13,6715,0.0,0.0,1
34,SP_1,2,Male,Simile,1,4,2,3,3,14,17576,331.0,1.8832498862084700,1
35,SP_1,2,Male,Simile,1,4,2,3,3,15,,,,2
36,SP_1,2,Male,Simile,1,4,2,3,3,16,25268,506.0,2.0025328478708200,2
37,SP_1,2,Male,Simile,1,4,2,3,3,17,18727,407.0,2.173332621348860,2
38,SP_1,2,Male,Simile,1,4,2,3,3,18,22184,108.0,0.48683736025964700,2
39,SP_1,2,Male,Simile,1,4,2,3,3,19,28641,369.0,1.2883628364931400,2
