participants,type,experience,value
1,metaphorical,behavior,1
2,metaphorical,behavior,0
3,metaphorical,behavior,1
4,metaphorical,behavior,1
5,metaphorical,behavior,2
6,metaphorical,behavior,2
7,metaphorical,behavior,1
8,metaphorical,behavior,1
9,metaphorical,behavior,2
10,metaphorical,behavior,1
11,metaphorical,behavior,0
12,metaphorical,behavior,0
13,metaphorical,behavior,2
14,metaphorical,behavior,1
15,metaphorical,behavior,1
16,metaphorical,behavior,0
17,metaphorical,behavior,2
18,metaphorical,behavior,3
19,metaphorical,behavior,2
20,metaphorical,behavior,1
21,simile,behavior,0
22,simile,behavior,0
23,simile,behavior,1
24,simile,behavior,0
25,simile,behavior,0
26,simile,behavior,0
27,simile,behavior,1
28,simile,behavior,0
29,simile,behavior,1
30,simile,behavior,0
31,simile,behavior,3
32,simile,behavior,0
33,simile,behavior,0
34,simile,behavior,0
35,simile,behavior,1
