participant,type,day,phase,percentage
1,metaphorical,1,BL,18.00327332
1,metaphorical,2,BL,9.378084896
1,metaphorical,3,BL,10.58320328
1,metaphorical,4,BL,7.8208441
1,metaphorical,5,BL,20.76916532
1,metaphorical,6,IV,0
1,metaphorical,7,IV,3.36217409
1,metaphorical,8,IV,0.803421768
1,metaphorical,9,IV,3.939132931
1,metaphorical,10,IV,4.828973843
1,metaphorical,11,IV,4.081218274
1,metaphorical,12,IV,11.17176688
1,metaphorical,13,IV,8.172851104
1,metaphorical,14,IV,8.89904488
1,metaphorical,15,IV,3.726893262
1,metaphorical,16,WD,0.194287935
1,metaphorical,17,WD,2.165115338
1,metaphorical,18,WD,3.800997159
1,metaphorical,19,WD,6.752612804
1,metaphorical,20,WD,3.863179074
2,simile,1,BL,3.600565648
2,simile,2,BL,4.311520109
2,simile,3,BL,5.812624964
2,simile,4,BL,0.119317504
2,simile,5,BL,0.12716043
2,simile,6,IV,0.1017294
2,simile,7,IV,0
2,simile,8,IV,1.097172361
2,simile,9,IV,0
2,simile,10,IV,0.971449991
2,simile,11,IV,0.55044891
2,simile,12,IV,
2,simile,13,IV,0
2,simile,14,IV,0
2,simile,15,IV,1.883249886
2,simile,16,WD,
2,simile,17,WD,2.002532848
2,simile,18,WD,2.173332621
2,simile,19,WD,0.48683736
2,simile,20,WD,1.288362836
3,metaphorical,1,BL,5.549363057
3,metaphorical,2,BL,2.658195021
3,metaphorical,3,BL,4.215743751
3,metaphorical,4,BL,5.183425706
3,metaphorical,5,BL,16.23500957
3,metaphorical,6,IV,2.49165638
3,metaphorical,7,IV,3.628898748
3,metaphorical,8,IV,5.799304317
3,metaphorical,9,IV,9.167192998
3,metaphorical,10,IV,7.986411776
3,metaphorical,11,IV,6.645931192
3,metaphorical,12,IV,15.06164173
3,metaphorical,13,IV,0.337016575
3,metaphorical,14,IV,6.150482171
3,metaphorical,15,IV,8.925971951
3,metaphorical,16,WD,0.414012739
3,metaphorical,17,WD,24.82403767
3,metaphorical,18,WD,0.703244922
3,metaphorical,19,WD,0
3,metaphorical,20,WD,1.515922977
4,simile,1,BL,15.625
4,simile,2,BL,6.954749014
4,simile,3,BL,33.61183638
4,simile,4,BL,6.823361339
4,simile,5,BL,13.44665736
4,simile,6,IV,8.237646755
4,simile,7,IV,8.320477894
4,simile,8,IV,22.34561213
4,simile,9,IV,9.015468901
4,simile,10,IV,11.08757758
4,simile,11,IV,39.31026876
4,simile,12,IV,31.38255302
4,simile,13,IV,35.84414438
4,simile,14,IV,35.35862979
4,simile,15,IV,31.45197839
4,simile,16,WD,13.26805463
4,simile,17,WD,7.185227387
4,simile,18,WD,13.14479817
4,simile,19,WD,0.558947863
4,simile,20,WD,7.920063108
5,metaphorical,1,BL,43.66812227
5,metaphorical,2,BL,17.65743073
5,metaphorical,3,BL,0.120852876
5,metaphorical,4,BL,0.650583909
5,metaphorical,5,BL,0
5,metaphorical,6,IV,0
5,metaphorical,7,IV,4.49943757
5,metaphorical,8,IV,0.025122472
5,metaphorical,9,IV,2.78004906
5,metaphorical,10,IV,0.909776772
5,metaphorical,11,IV,
5,metaphorical,12,IV,1.030849693
5,metaphorical,13,IV,
5,metaphorical,14,IV,0.85704188
5,metaphorical,15,IV,0
5,metaphorical,16,WD,0
5,metaphorical,17,WD,0
5,metaphorical,18,WD,1.156432328
5,metaphorical,19,WD,0
5,metaphorical,20,WD,5.084898033
6,simile,1,BL,0
6,simile,2,BL,
6,simile,3,BL,6.902356902
6,simile,4,BL,1.511151254
6,simile,5,BL,50.1764762
6,simile,6,IV,0
6,simile,7,IV,0.01509434
6,simile,8,IV,0
6,simile,9,IV,0
6,simile,10,IV,0
6,simile,11,IV,0
6,simile,12,IV,0
6,simile,13,IV,78.57075958
6,simile,14,IV,0
6,simile,15,IV,14.76311197
6,simile,16,WD,0
6,simile,17,WD,0
6,simile,18,WD,0
6,simile,19,WD,0
6,simile,20,WD,0
7,simile,1,BL,30.39100301
7,simile,2,BL,1.050965495
7,simile,3,BL,8.238844579
7,simile,4,BL,0
7,simile,5,BL,0
7,simile,6,IV,0.060088932
7,simile,7,IV,30.36131855
7,simile,8,IV,27.53241046
7,simile,9,IV,0
7,simile,10,IV,0
7,simile,11,IV,20.94953761
7,simile,12,IV,0.037334329
7,simile,13,IV,0.799704724
7,simile,14,IV,0.728959576
7,simile,15,IV,3.505884289
7,simile,16,WD,6.313645621
7,simile,17,WD,2.323205163
7,simile,18,WD,15.56539929
7,simile,19,WD,7.772083943
7,simile,20,WD,0
9,metaphorical,1,BL,14.73024854
9,metaphorical,2,BL,
9,metaphorical,3,BL,11.46180986
9,metaphorical,4,BL,21.07325496
9,metaphorical,5,BL,1.362810418
9,metaphorical,6,IV,7.094311126
9,metaphorical,7,IV,0
9,metaphorical,8,IV,10.85247753
9,metaphorical,9,IV,0.726768752
9,metaphorical,10,IV,15.5523614
9,metaphorical,11,IV,16.16509028
9,metaphorical,12,IV,21.99597788
9,metaphorical,13,IV,12.89925954
9,metaphorical,14,IV,15.31625115
9,metaphorical,15,IV,35.28948848
9,metaphorical,16,WD,
9,metaphorical,17,WD,25.48036388
9,metaphorical,18,WD,43.06237721
9,metaphorical,19,WD,5.263157895
9,metaphorical,20,WD,
10,metaphorical,1,BL,0.133862835
10,metaphorical,2,BL,0
10,metaphorical,3,BL,7.245442828
10,metaphorical,4,BL,
10,metaphorical,5,BL,20.99155679
10,metaphorical,6,IV,2.27938977
10,metaphorical,7,IV,9.071138604
10,metaphorical,8,IV,0
10,metaphorical,9,IV,
10,metaphorical,10,IV,0
10,metaphorical,11,IV,5.208333333
10,metaphorical,12,IV,1.912136536
10,metaphorical,13,IV,0
10,metaphorical,14,IV,
10,metaphorical,15,IV,7.672770006
10,metaphorical,16,WD,3.247571069
10,metaphorical,17,WD,0
10,metaphorical,18,WD,28.13164557
10,metaphorical,19,WD,
10,metaphorical,20,WD,0
12,metaphorical,1,BL,1.81434042
12,metaphorical,2,BL,0.04858531
12,metaphorical,3,BL,5.943627451
12,metaphorical,4,BL,8.255416192
12,metaphorical,5,BL,13.2651519
12,metaphorical,6,IV,0.371947927
12,metaphorical,7,IV,0
12,metaphorical,8,IV,4.05747563
12,metaphorical,9,IV,0
12,metaphorical,10,IV,
12,metaphorical,11,IV,
12,metaphorical,12,IV,0
12,metaphorical,13,IV,3.417167851
12,metaphorical,14,IV,0
12,metaphorical,15,IV,99.18419144
12,metaphorical,16,WD,
12,metaphorical,17,WD,
12,metaphorical,18,WD,0
12,metaphorical,19,WD,0
12,metaphorical,20,WD,
13,metaphorical,1,BL,33.96798333
13,metaphorical,2,BL,0
13,metaphorical,3,BL,17.78503563
13,metaphorical,4,BL,44.26838597
13,metaphorical,5,BL,21.04290429
13,metaphorical,6,IV,5.395718299
13,metaphorical,7,IV,3.093437987
13,metaphorical,8,IV,12.43239543
13,metaphorical,9,IV,26.18020609
13,metaphorical,10,IV,24.22281521
13,metaphorical,11,IV,26.10780336
13,metaphorical,12,IV,11.3798127
13,metaphorical,13,IV,6.660703951
13,metaphorical,14,IV,25.73329831
13,metaphorical,15,IV,0
13,metaphorical,16,WD,67.59799833
13,metaphorical,17,WD,
13,metaphorical,18,WD,0
13,metaphorical,19,WD,
13,metaphorical,20,WD,1.809438673
14,metaphorical,1,BL,0.075485941
14,metaphorical,2,BL,
14,metaphorical,3,BL,0
14,metaphorical,4,BL,2.170066126
14,metaphorical,5,BL,
14,metaphorical,6,IV,0
14,metaphorical,7,IV,0
14,metaphorical,8,IV,0
14,metaphorical,9,IV,6.13720785
14,metaphorical,10,IV,7.812927341
14,metaphorical,11,IV,1.948939548
14,metaphorical,12,IV,0.680737523
14,metaphorical,13,IV,0.060268193
14,metaphorical,14,IV,12.47964169
14,metaphorical,15,IV,22.45012961
